Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Glaucidium brodiei,9.85,5.21,8.99,91,19.8,58,M,A,I,F
Glaucidium cuculoides,13.83,10.02,12.49,150.5,29.58,163,M,G,I,F
Gracula religiosa,20,10.39,11.75,168.5,36.19,192,T,F,O,F
Grammatoptila striata,17.3,7.79,10.8,151,46.32,111,M,L,I,F
Haematospiza sipahi,12.55,9.84,11.73,101.5,21.41,40,M,F,S,F
Halcyon coromanda,42.04,14.93,14.47,106,15.81,78,M,R,V,W
Harpactes erythrocephalus,12.4,8.66,10.53,153.5,17.08,80,M,A,I,F
Harpactes wardi,10.85,7.95,10.75,161,16.7,119,M,A,I,F
Hemipus picatus,9.68,4.48,3.57,64.38,12.7,9,T,A,I,F
Hemixos flavala,12.75,5.21,5.39,97.25,19.05,33,T,F,F,F
Heterophasia annectans,8.8,3.65,4,80.5,25.7,25,T,M,I,F
Heterophasia picaoides,15,4.53,4.87,118.5,28.05,42,T,L,I,F
Heterophasia pulchella,15.83,5.1,5.2,107,31.47,41,T,L,I,F
Hierococcyx nisicolor,15.5,9.15,8,175,22.5,81,M,L,I,F
Hierococcyx sparverioides,18.87,8.48,8.31,221.75,26.69,151,T,L,I,F
Hypothymis azurea,9.38,5.32,3.91,72,16.13,11,M,A,I,F
Hypsipetes leucocephalus,17.04,5.83,6.12,123.8,19.42,53,T,F,F,F
Hypsipetes mcclellandi,18.11,5.94,5.7,107.5,17.85,33,T,F,F,F
Ianthocincla ocellata,19.55,6.29,7.7,130.5,47.68,114,G,G,F,F
Ictinaetus malaiensis,51.5,13.68,18.64,566,68.7,1028.0,T,B,V,F
Irena puella,18.36,8.22,8.72,136.9,19.93,65,T,F,F,F
Leiothrix argentauris,9.37,4.11,5.03,76,25.73,28,B,L,I,F
Leucosticte nemoricola,9.33,6.6,6.86,101,20.42,23,G,G,S,O
Liocichla bugunorum,14,18.5,6,85,32,40,B,L,O,F
Liocichla phoenicea,9.8,4.2,5.68,87,35.3,49,B,L,O,F
Lioparus chrysotis,4.87,2.65,3.03,51.67,20.63,12,B,L,I,F
Lophura leucomelanos,35.78,11.1,10.88,212.2,67.38,868,G,G,O,F
Macronous gularis,8.68,3.1,3.5,60,19.3,11,B,L,I,F
Macropygia unchall,11.08,4.26,4.97,197.55,26.31,168,T,G,F,F
Malacocincla abbotti,12.68,4,5.8,78,26.3,29,B,L,I,F
Megalaima asiatica,17.27,9.48,11,103.5,26.75,91,T,F,F,F
Megalaima australis,14.3,7.6,8.14,86.25,19.51,33,T,F,F,F
Megalaima franklinii,17.95,10.2,11.18,103.85,26.87,64,T,F,F,F
Megalaima lineata,25.89,11.45,14.28,128.65,34.76,149,T,F,F,F
Megalaima virens,32.96,13.7,17.06,140.25,33.78,202,T,F,F,F
Melanochlora sultanea,11.38,5.42,14.46,108.57,24.4,38,T,L,I,F
Microhierax melanoleucos,15.18,8.72,10.2,111.4,24.32,64.22,G,G,I,F
Micropternus brachyurus,18.2,7.25,7.95,131.5,21.3,70,T,B,I,F
Minla cyanouroptera,7.84,3.25,3.8,63.2,22.85,17,M,L,I,F
Minla ignotincta,6.79,2.86,3.07,63.73,19.8,14,M,L,I,F
Minla strigula,7,3.45,3.96,66.2,26.1,19,M,L,I,F
Monticola rufiventris,14.37,5.56,6.09,122.7,28.03,53,T,G,I,F
Mulleripicus pulverulentus,47,13.25,13.75,240.5,40.2,462,T,B,I,F
Muscicapa ferruginea,6.09,4.48,2.96,69.2,14.5,12,M,A,I,F
Muscicapa sibirica,5.4,3.59,2.51,73.13,11.75,13,M,A,I,F
Muscicapella hodgsoni,6.09,2.43,2.35,53.1,16.1,5,B,A,I,F
Mycerobas melanozanthos,19.24,17.06,20.23,132.5,25.32,62,T,F,S,F
Myiomela leucura,10,3.43,4.26,95.56,27.88,25,G,G,I,F
Myophonus caeruleus,18.85,7.05,9.78,172,52.13,158,R,G,I,F
Myzornis pyrrhoura,9.75,3.12,2.59,62.25,24.6,12,B,B,I,F
Napothera epilepidota,10.94,3.09,3.55,54.9,22.24,16,G,G,I,F
Niltava grandis,10.93,5.33,5.03,104.42,25.2,30,M,A,I,F
Niltava macgrigoriae,6.37,3.57,3.11,64.25,16.7,12,B,A,I,F
Niltava sundara,8.42,4.35,3.86,80.67,21.6,21,B,A,I,F
Nisaetus nipalensis,44.18,13.07,23.52,423.66,101.2,3005,G,G,V,F
Nucifraga caryocatactes,35.96,14.84,15.62,218.13,43.08,197,T,F,S,F
Nyctyornis athertoni,37.05,9.45,10.56,131.55,17.83,92,T,A,I,F
Oriolus traillii,22.02,7.3,7.99,148.7,24.27,74,T,F,F,F
Oriolus xanthornus,22.07,8.01,8.23,140.88,26.11,56,T,F,F,F
Orthotomus sutorius,9.41,2.73,2.54,46,19.96,8,B,L,I,F
Paradoxornis atrosuperciliaris,6.85,6.28,8.55,71.5,25.85,17,B,L,I,F
Paradoxornis gularis,9.63,6.06,9.22,87,26.46,29,B,L,S,F
Paradoxornis nipalensis,4.54,4.19,5.78,50.5,17.43,6,B,L,I,F
Paradoxornis ruficeps,10.3,7.1,12.2,85,25.4,32,B,L,I,F
Paradoxornis unicolor,10.85,6.89,10.11,90.25,30.75,34,B,L,S,F
Parus spilonotus,8.42,4.57,5.02,77.2,19.9,19,T,L,I,F
Pellorneum ruficeps,10.9,3.4,4.85,71,27.3,26,G,G,I,F
Pericrocotus brevirostris,7.35,4.05,3.93,86.75,15.28,17,T,L,I,F
Pericrocotus ethologus,8.16,4.12,3.97,92.25,17.2,19,T,L,I,F
Pericrocotus solaris,8.07,4.03,4.22,84,16.36,15,T,L,I,F
Pericrocotus speciosus,12.07,5.92,6.32,107,19.48,28,T,L,I,F
