Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.Air,PyS.Ground,PyS.TreeCanopy,PyS.Bush,PyS.MidCanopy,PyS.Stream,PyS.Riverbed,PyS.Cliff,F.Air,F.Ground,F.Fruitingbody,F.Leaf,F.Bark,F.River?,F.Water,F.Moss,F.I,F.Flower,D.Vertebrates,D.Arthropod,D.Seed/Shoot?,D.Fruit,D.Omnivore,D.Nectar,H.forest,H.open,H.water
Pyrrhula_erythaca,8.6,8.35,8.65,83,18.7,19,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Macronous_gularis,8.68,3.1,3.5,60,19.3,11.45,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Leioptila_annectens,8.8,3.65,4,80.5,25.7,24.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,0,0
Pycnonotus_flaviventris,8.8,4.21,4.49,91.25,16.93,27.75,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Pyrrhoplectes_epauletta,8.83,6.65,7.1,78,20,19,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Cyornis_poliogenys,8.9,4.71,3.76,73.86,19.46,15.7,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Cyanoderma_ruficeps,8.95,2.8,3.3,55.25,20.6,10.3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Carpodacus_subhimachalus,9.06,9.17,9.81,95.5,22.33,46.18,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Actinodura_egertoni,9.1,4.1,4.85,82.5,30.3,36,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Cinclidium_frontale,9.32,3.15,3.82,93.5,27.9,25.4,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Leucosticte_nemoricola,9.33,6.6,6.86,101,20.42,22.7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
Leiothrix_argentauris,9.37,4.11,5.03,76,25.73,28.4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Hypothymis_azurea,9.38,5.32,3.91,72,16.13,11.1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Orthotomus_sutorius,9.41,2.73,2.54,46,19.96,7.5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Phyllergates_cucullatus,9.52,2.75,2.27,48.33,20.07,5.9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
Cyornis_unicolor,9.58,4.99,3.97,81.17,17.56,21,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Chloris_spinoides,9.62,7.06,7.82,76.65,15.69,18.6,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
Paradoxornis_gularis,9.63,6.06,9.22,87,26.46,29,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
Hemipus_picatus,9.68,4.48,3.57,64.38,12.7,9,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pteruthius_flaviscapis,9.68,5.27,6.24,83,26.98,39,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Pyrrhula_nipalensis,9.71,10.13,9.85,88,17.07,24.6,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
Myzornis_pyrrhoura,9.75,3.12,2.59,62.25,24.6,11.9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,5,0,0
Liocichla_phoenicea,9.8,4.2,5.68,87,35.3,49,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Pteruthius_rufiventer,9.8,4.88,6.39,88,28.53,44.5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Glaucidium_brodiei,9.85,5.21,8.99,91,19.8,58,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Cacomantis_sonneratii,9.89,6.76,5.64,123.9,16.07,33.8,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Trochalopteron_subunicolor,9.89,4.5,6.15,94.75,37.14,66,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Erpornis_zantholeuca,9.93,3.02,3.97,67,16.1,11.8,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
Stachyris_nigriceps,9.93,3.43,4.65,58,23.05,15.8,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
