For_all_in_Schumm,Step1_ChangeNames,Step2_DeleteTips
Melanocorypha_maxima,NA,Melanocorypha_maxima
Melophus_lathami,NA,Melophus_lathami
Merops_leschenaulti,NA,Merops_leschenaulti
Merops_orientalis,NA,Merops_orientalis
Mirafra_assamica,NA,Mirafra_assamica
Monticola_cinclorhynchus,NA,Monticola_cinclorhynchus
Montifringilla_taczanowskii,NA,Montifringilla_taczanowskii
Motacilla_alba,NA,Motacilla_alba
Motacilla_cinerea,NA,Motacilla_cinerea
Motacilla_maderaspatensis,NA,Motacilla_maderaspatensis
Mycerobas_affinis,NA,Mycerobas_affinis
Mycerobas_carnipes,NA,Mycerobas_carnipes
Ninox_scutulata,NA,Ninox_scutulata
Oriolus_kundoo,NA,Oriolus_kundoo
Oriolus_tenuirostris,NA,Oriolus_tenuirostris
Otus_bakkamoena,NA,Otus_bakkamoena
Otus_lettia,NA,Otus_lettia
Otus_spilocephalus,NA,Otus_spilocephalus
Otus_sunia,NA,Otus_sunia
Paradoxornis_flavirostris,NA,Paradoxornis_flavirostris
Paradoxornis_fulvifrons,NA,Paradoxornis_fulvifrons
Parus_dichrous,NA,Parus_dichrous
Parus_major,NA,Parus_major
Parus_xanthogenys,NA,Parus_xanthogenys
Passer_domesticus,NA,Passer_domesticus
Passer_montanus,NA,Passer_montanus
Passer_rutilans,NA,Passer_rutilans
Pelargopsis_capensis,NA,Pelargopsis_capensis
Pellorneum_albiventre,NA,Pellorneum_albiventre
Pellorneum_tickelli,NA,Pellorneum_tickelli
Pericrocotus_cinnamomeus,NA,Pericrocotus_cinnamomeus
Phaenicophaeus_tristis,NA,Phaenicophaeus_tristis
Phodilus_badius,NA,Phodilus_badius
Phoenicurus_ochruros,NA,Phoenicurus_ochruros
Phylloscopus_fuligiventer,NA,Phylloscopus_fuligiventer
Pica_pica,NA,Pica_pica
Picus_xanthopygaeus,NA,Picus_xanthopygaeus
Ploceus_benghalensis,NA,Ploceus_benghalensis
Ploceus_manyar,NA,Ploceus_manyar
Ploceus_megarhynchus,NA,Ploceus_megarhynchus
Ploceus_philippinus,NA,Ploceus_philippinus
Pomatorhinus_erythrogenys,NA,Pomatorhinus_erythrogenys
Pomatorhinus_hypoleucos,NA,Pomatorhinus_hypoleucos
Prinia_cinereocapilla,NA,Prinia_cinereocapilla
Prinia_crinigera,NA,Prinia_crinigera
Prinia_flaviventris,NA,Prinia_flaviventris
Prinia_hodgsonii,NA,Prinia_hodgsonii
Prinia_inornata,NA,Prinia_inornata
Prinia_rufescens,NA,Prinia_rufescens
Prinia_socialis,NA,Prinia_socialis
Prinia_sylvatica,NA,Prinia_sylvatica
Prunella_collaris,NA,Prunella_collaris
Prunella_rubeculoides,NA,Prunella_rubeculoides
Pseudopodoces_humilis,NA,Pseudopodoces_humilis
Psittacula_eupatria,NA,Psittacula_eupatria
Psittacula_finschii,NA,Psittacula_finschii
Psittacula_himalayana,NA,Psittacula_himalayana
Psittacula_krameri,NA,Psittacula_krameri
Psittacula_roseata,NA,Psittacula_roseata
Ptyonoprogne_rupestris,NA,Ptyonoprogne_rupestris
Pycnonotus_cafer,NA,Pycnonotus_cafer
Pycnonotus_jocosus,NA,Pycnonotus_jocosus
Pycnonotus_leucogenys,NA,Pycnonotus_leucogenys
Pyrrhocorax_graculus,NA,Pyrrhocorax_graculus
Pyrrhocorax_pyrrhocorax,NA,Pyrrhocorax_pyrrhocorax
Pyrrhospiza_punicea,NA,Pyrrhospiza_punicea
Regulus_regulus,NA,Regulus_regulus
Rhyacornis_fuliginosa,NA,Rhyacornis_fuliginosa
Riparia_chinensis,NA,Riparia_chinensis
Saxicola_caprata,NA,Saxicola_caprata
Saxicola_ferreus,NA,Saxicola_ferreus
Saxicola_jerdoni,NA,Saxicola_jerdoni
Saxicola_leucurus,NA,Saxicola_leucurus
Schoeniparus_dubia,NA,Schoeniparus_dubia
Schoeniparus_rufogularis,NA,Schoeniparus_rufogularis
Seicercus_affinis,NA,Seicercus_affinis
Seicercus_burkii,NA,Seicercus_burkii
Serilophus_lunatus,NA,Serilophus_lunatus
Sitta_frontalis,NA,Sitta_frontalis
Stachyridopsis_rufifrons,NA,Stachyridopsis_rufifrons
Streptopelia_chinensis,NA,Streptopelia_chinensis
Streptopelia_decaocto,NA,Streptopelia_decaocto
Streptopelia_orientalis,NA,Streptopelia_orientalis
Streptopelia_tranquebarica,NA,Streptopelia_tranquebarica
Strix_leptogrammica,NA,Strix_leptogrammica
Strix_nivicola,NA,Strix_nivicola
Sturnia_malabarica,NA,Sturnia_malabarica
Tachymarptis_melba,NA,Tachymarptis_melba
Tarsiger_chrysaeus,NA,Tarsiger_chrysaeus
Timalia_pileata,NA,Timalia_pileata
Treron_bicinctus,NA,Treron_bicinctus
Treron_phayrei,NA,Treron_phayrei
Treron_phoenicopterus,NA,Treron_phoenicopterus
Troglodytes_troglodytes,NA,Troglodytes_troglodytes
Turdoides_earlei,NA,Turdoides_earlei
Turdoides_longirostris,NA,Turdoides_longirostris
Turdoides_nipalensis,NA,Turdoides_nipalensis
Turdoides_striata,NA,Turdoides_striata
Turdus_albocinctus,NA,Turdus_albocinctus
Turdus_boulboul,NA,Turdus_boulboul
Turdus_unicolor,NA,Turdus_unicolor
Tyto_longimembris,NA,Tyto_longimembris
Upupa_epops,NA,Upupa_epops
Urocissa_erythrorhyncha,NA,Urocissa_erythrorhyncha
Zoonavena_sylvatica,NA,Zoonavena_sylvatica
Zoothera_citrina,NA,Zoothera_citrina
Zoothera_marginata,NA,Zoothera_marginata
Zoothera_monticola,NA,Zoothera_monticola
Zoothera_wardii,NA,Zoothera_wardii
Dendrocopos_canicapillus,NA,Dendrocopos_canicapillus
Abroscopus_albogularis,NA,NA
Abroscopus_schisticeps,NA,NA
Abroscopus_superciliaris,NA,NA
Aceros_nipalensis,NA,NA
Acridotheres_tristis,NA,NA
Actinodura_egertoni,NA,NA
Aegithalos_concinnus,NA,NA
Aegithalos_iouschistos,NA,NA
Aegithina_tiphia,NA,NA
Aethopyga_gouldiae,NA,NA
Aethopyga_ignicauda,NA,NA
Aethopyga_nipalensis,NA,NA
Aethopyga_saturata,NA,NA
Aethopyga_siparaja,NA,NA
Alcippe_nipalensis,NA,NA
Alophoixus_flaveolus,NA,NA
Anthracoceros_albirostris,NA,NA
Anthus_hodgsoni,NA,NA
Arachnothera_magna,NA,NA
Batrachostomus_hodgsoni,NA,NA
Blythipicus_pyrrhotis,NA,NA
Brachypteryx_leucophrys,NA,NA
Brachypteryx_montana,NA,NA
Cacomantis_merulinus,NA,NA
Cacomantis_sonneratii,NA,NA
Certhia_discolor,NA,NA
Cettia_brunnifrons,NA,NA
Chalcophaps_indica,NA,NA
Chloropsis_aurifrons,NA,NA
Chloropsis_hardwickii,NA,NA
Chrysococcyx_maculatus,NA,NA
Chrysocolaptes_lucidus,NA,NA
Cinclidium_frontale,NA,NA
Cissa_chinensis,NA,NA
Clamator_coromandus,NA,NA
Cochoa_purpurea,NA,NA
Cochoa_viridis,NA,NA
Columba_pulchricollis,NA,NA
Copsychus_malabaricus,NA,NA
Cuculus_micropterus,NA,NA
Cuculus_poliocephalus,NA,NA
Cuculus_saturatus,NA,NA
Culicicapa_ceylonensis,NA,NA
Cutia_nipalensis,NA,NA
Cyornis_poliogenys,NA,NA
Cyornis_unicolor,NA,NA
Dendrocitta_formosae,NA,NA
Dendrocitta_frontalis,NA,NA
Dendrocopos_cathpharius,NA,NA
Dendrocopos_darjellensis,NA,NA
Dendrocopos_macei,NA,NA
Dicaeum_cruentatum,NA,NA
Dicaeum_ignipectus,NA,NA
Dicrurus_aeneus,NA,NA
Dicrurus_hottentottus,NA,NA
Dicrurus_leucophaeus,NA,NA
Dicrurus_paradiseus,NA,NA
Dicrurus_remifer,NA,NA
Ducula_aenea,NA,NA
Ducula_badia,NA,NA
Enicurus_immaculatus,NA,NA
Enicurus_maculatus,NA,NA
Enicurus_schistaceus,NA,NA
Erpornis_zantholeuca,NA,NA
Eumyias_thalassinus,NA,NA
Ficedula_hyperythra,NA,NA
Ficedula_sapphira,NA,NA
Ficedula_strophiata,NA,NA
Ficedula_tricolor,NA,NA
Ficedula_westermanni,NA,NA
Fulvetta_ludlowi,NA,NA
Gampsorhynchus_rufulus,NA,NA
Garrulax_albogularis,NA,NA
Garrulax_monileger,NA,NA
Garrulax_pectoralis,NA,NA
Gecinulus_grantia,NA,NA
Glaucidium_brodiei,NA,NA
Glaucidium_cuculoides,NA,NA
Gracula_religiosa,NA,NA
Grammatoptila_striata,NA,NA
Halcyon_coromanda,NA,NA
Harpactes_erythrocephalus,NA,NA
Harpactes_wardi,NA,NA
Hemipus_picatus,NA,NA
Hemixos_flavala,NA,NA
Heterophasia_picaoides,NA,NA
Heterophasia_pulchella,NA,NA
Hierococcyx_nisicolor,NA,NA
Hierococcyx_sparverioides,NA,NA
Hypothymis_azurea,NA,NA
Hypsipetes_leucocephalus,NA,NA
Irena_puella,NA,NA
Leiothrix_argentauris,NA,NA
Leucosticte_nemoricola,NA,NA
Liocichla_bugunorum,NA,NA
Liocichla_phoenicea,NA,NA
Lioparus_chrysotis,NA,NA
Loriculus_vernalis,NA,NA
Macronous_gularis,NA,NA
Macropygia_unchall,NA,NA
Malacocincla_abbotti,NA,NA
Melanochlora_sultanea,NA,NA
Micropternus_brachyurus,NA,NA
Minla_ignotincta,NA,NA
Monticola_rufiventris,NA,NA
Mulleripicus_pulverulentus,NA,NA
Muscicapa_ferruginea,NA,NA
Muscicapa_sibirica,NA,NA
Mycerobas_melanozanthos,NA,NA
Myiomela_leucura,NA,NA
Myophonus_caeruleus,NA,NA
Myzornis_pyrrhoura,NA,NA
Napothera_epilepidota,NA,NA
Niltava_grandis,NA,NA
Niltava_macgrigoriae,NA,NA
Niltava_sundara,NA,NA
Nucifraga_caryocatactes,NA,NA
Nyctyornis_athertoni,NA,NA
Oriolus_traillii,NA,NA
Oriolus_xanthornus,NA,NA
Orthotomus_sutorius,NA,NA
Paradoxornis_gularis,NA,NA
Parus_monticolus,NA,NA
Pellorneum_ruficeps,NA,NA
Pericrocotus_brevirostris,NA,NA
Pericrocotus_ethologus,NA,NA
Pericrocotus_solaris,NA,NA
Phoenicurus_frontalis,NA,NA
Phoenicurus_schisticeps,NA,NA
Phyllergates_cucullatus,NA,NA
Phylloscopus_cantator,NA,NA
Phylloscopus_chloronotus,NA,NA
Phylloscopus_maculipennis,NA,NA
Phylloscopus_magnirostris,NA,NA
Phylloscopus_pulcher,NA,NA
Phylloscopus_reguloides,NA,NA
Phylloscopus_trochiloides,NA,NA
Phylloscopus_xanthoschistos,NA,NA
Picumnus_innominatus,NA,NA
Picus_canus,NA,NA
Picus_chlorolophus,NA,NA
Pitta_sordida,NA,NA
Pnoepyga_albiventer,NA,NA
Pnoepyga_pusilla,NA,NA
Pomatorhinus_ferruginosus,NA,NA
Pomatorhinus_ruficollis,NA,NA
Pomatorhinus_schisticeps,NA,NA
Prinia_atrogularis,NA,NA
Prunella_immaculata,NA,NA
Prunella_strophiata,NA,NA
Psarisomus_dalhousiae,NA,NA
Psittacula_alexandri,NA,NA
Pteruthius_flaviscapis,NA,NA
Pteruthius_melanotis,NA,NA
Pteruthius_rufiventer,NA,NA
Pteruthius_xanthochlorus,NA,NA
Pycnonotus_flaviventris,NA,NA
Pycnonotus_striatus,NA,NA
Pyrrhoplectes_epauletta,NA,NA
Pyrrhula_erythaca,NA,NA
Pyrrhula_erythrocephala,NA,NA
Pyrrhula_nipalensis,NA,NA
Rhipidura_albicollis,NA,NA
Rimator_malacoptilus,NA,NA
Sasia_ochracea,NA,NA
Schoeniparus_castaneceps,NA,NA
Sitta_cinnamoventris,NA,NA
Sitta_formosa,NA,NA
Sitta_himalayensis,NA,NA
Spelaeornis_caudatus,NA,NA
Spelaeornis_troglodytoides,NA,NA
Stachyris_nigriceps,NA,NA
Surniculus_lugubris,NA,NA
Sylviparus_modestus,NA,NA
Tarsiger_hyperythrus,NA,NA
Tarsiger_indicus,NA,NA
Tarsiger_rufilatus,NA,NA
Terpsiphone_paradisi,NA,NA
Tesia_cyaniventer,NA,NA
Tesia_olivea,NA,NA
Tickellia_hodgsoni,NA,NA
Treron_apicauda,NA,NA
Treron_curvirostra,NA,NA
Treron_sphenurus,NA,NA
Trochalopteron_affine,NA,NA
Trochalopteron_imbricatum,NA,NA
Trochalopteron_squamatum,NA,NA
Trochalopteron_subunicolor,NA,NA
Urocissa_flavirostris,NA,NA
Yuhina_bakeri,NA,NA
Yuhina_flavicollis,NA,NA
Yuhina_gularis,NA,NA
Yuhina_nigrimenta,NA,NA
Yuhina_occipitalis,NA,NA
Zoothera_dauma,NA,NA
Zoothera_dixoni,NA,NA
Zoothera_mollissima,NA,NA
Zosterops_palpebrosus,NA,NA
Buceros_bicornis,NA,NA
Carpodacus_erythrinus,NA,NA
Megalaima_asiatica,NA,NA
Megalaima_australis,NA,NA
Megalaima_franklinii,NA,NA
Sphenocichla_humei,NA,NA
Trochalopteron_erythrocephalum,NA,NA
