WinterList,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PySub,ForMode,Diet,Habitat
Schoeniparus cinereus,6.93,2.68,2.8,54.5,20.3,11,B,L,I,F
Sibia waldeni,10.68,4.28,5.1,95.5,33.85,48,M,L,O,F
Sitta cinnamoventris,14.03,4.63,4.8,81.75,19.88,20,T,B,I,F
Sitta formosa,13.8,5,5.1,106,21.9,25,T,B,I,F
Sitta himalayensis,10.35,5.18,3.48,73,17.75,15,T,B,I,F
Siva cyanouroptera,7.84,3.25,3.8,63.2,22.85,17,M,L,I,F
Spelaeornis caudatus,6.46,2.75,3.24,48.27,19.2,11,B,L,I,F
Spelaeornis troglodytoides,5.93,2.3,3,51,22.45,11,B,L,I,F
Spilornis cheela,45.6,14.43,20.78,373.67,82.22,597.7,G,G,V,F
Spinus thibetanus,7.15,3.6,4.7,69.25,12,10.48,T,L,G,F
Sphenocichla humei,17.5,4.5,6.7,73,28.1,34,B,L,I,F
Stachyris nigriceps,9.93,3.43,4.65,58,23.05,16,B,L,I,F
Suthora nipalensis,4.54,4.19,5.78,50.5,17.43,6,B,L,I,F
Sylviparus modestus,5.05,2.65,2.84,59.5,17.55,8,T,L,I,F
Tarsiger hyperythrus,6.1,2.85,3,76.5,25.1,12,G,G,I,F
Tarsiger indicus,7.85,3,3.05,80,28.95,14.6,G,G,I,F
Tarsiger rufilatus,6.85,2.86,2.96,82.18,26,14.8,G ,G,I,F
Tephrodornis virgatus,16.13,6.98,7.43,118.75,20.66,38,T,L,I,F
Tesia cyaniventer,7.92,3.81,2.76,49.6,24.67,10,G,G,I,F
Tesia olivea,7.32,3.15,2.72,45.05,21.63,7,G,G,I,F
Tragopan blythii,30.02,9.88,10.76,250.4,74.44,1930,G,G,O,F
Treron sphenurus,11.58,6,6.28,178,23.33,210,T,F,F,F
Trochalopteron affine,13.01,4.92,5.81,105,39.07,73,G,G,F,F
Trochalopteron erythrocephalum,13.91,4.79,5.83,103,40.23,72,B,L,I,F
Trochalopteron imbricatum,10.2,4.58,5.63,81,29.05,41,G,G,O,F
Trochalopteron squamatum,13.52,5.62,7.61,103,41.43,84,G,G,O,F
Trochalopteron subunicolor,9.89,4.5,6.15,94.75,37.14,66,G,G,I,F
Urocissa flavirostris,24.37,12.44,13.34,190,49.01,151,T,L,I,F
Yuhina bakeri,6.5,3.4,4.03,67,21.79,18,M,L,I,F
Yuhina castaniceps,5.62,2.95,3.08,61.25,17.15,12,M,L,I,F
Yuhina flavicollis,6.7,2.93,3.22,63.2,21.72,15,M,L,I,F
Yuhina gularis,8.29,3.2,3.13,73.1,23.85,21,T,L,I,F
Yuhina nigrimenta,6.74,2.63,2.52,56,16.4,10,M,L,I,F
Yuhina occipitalis,8.16,2.75,2.95,61.5,20.09,13,T,L,I,F
Zoothera dauma,16.4,5.1,6.45,140.5,33.05,138.5,G,G,I,F
Zoothera dixoni,14.4,5.25,5.45,141.5,38.9,90,G,G,I,F
Zoothera mollissima,16.1,5.35,6.05,143.75,36.25,98.2,G,G,I,O
Zosterops palpebrosus,7,2.9,2.81,52.04,14.85,8.6,T,FL,O,F
