AllTipsSchumm,AllSpecies_MM,Schumm_MM_DirectMatch,Extra_in_MM,Schumm_OrigNames,ChangeNameInSchumm,Final_Extra_in_MM,DownloadJetzTree
Actinodura_nipalensis,Aethopyga_ignicauda,Aethopyga_siparaja,Caprodacus_subhimachalus,Haematospiza_sipahi,Carpodacus_sipahi,Hypothymis_azurea,Aethopyga gouldiae
Aegithalos_concinnus,Aethopyga_nipalensis,Alcippe_nipalensis,Cettia_castaneocoronata,Propyrrhula_subhimachala,Carpodacus_subhimachalus,Lophotriorchis_kienerii,Aethopyga nipalensis
Aegithalos_iouschistos,Aethopyga_saturata,Alophoixus_flaveolus,Chelidorhynx_hypoxanthus,Tesia_castaneocoronata,Cettia_castaneocoronata,Lophura_leucomelanos,Aethopyga saturata
Aegithina_tiphia,Aethopyga_siparaja,Anthus_hodgsoni,Cholornis_unicolor,Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus,Mixornis_gularis,Aethopyga siparaja
Aerodramus_brevirostris,Alcippe_nipalensis,Arachnothera_magna,Chrysominla_strigula,Paradoxornis_unicolor,Cholornis_unicolor,Nisaetus_nipalensis,Alcippe nipalensis
Aethopyga_gouldiae,Alophoixus_flaveolus,Brachypteryx_montana,Chrysophlegma_flavinucha,Minla_strigula,Chrysominla_strigula,Pernis_ptilorhynchus,Alophoixus flaveolus
Aethopyga_ignicauda,Anthipes_monileger,Buceros_bicornis,Cyanoderma_chrysaeum,Picus_flavinucha,Chrysophlegma_flavinucha,Polyplectron_bicalcaratum,Anthracoceros albirostris
Aethopyga_nipalensis,Anthus_hodgsoni,Cacomantis_merulinus,Cyanoderma_ruficeps,Stachyridopsis_chrysaea,Cyanoderma_chrysaeum,Pteruthius_aeralatus,Arachnothera magna
Aethopyga_saturata,Arachnothera_magna,Cacomantis_sonneratii,Dinopium_javanese,Stachyridopsis_ruficeps,Cyanoderma_ruficeps,Sibia_waldeni,Arborophila mandellii
Aethopyga_siparaja,Arborophila_mandellii,Carpodacus_erythrinus,Elachura_formosa,Spelaeornis_formosus,Elachura_formosa,Spilornis_cheela,Arborophila rufogularis
Alauda_gulgula,Arborophila_rufogularis,Certhia_discolor,Ficedula_albicilla,Muscicapella_hodgsoni,Ficedula_hodgsoni,Spinus_thibetanus,Arborophila torqueola
Alcedo_atthis,Arborophila_torqueola,Cettia_castaneocoronata,Ficedula_hodgsoni,Dryonastes_caerulatus,Garrulax_caerulatus,Tragopan_blythii,Batrachostomus hodgsoni
