OrigTips,NewTips,DropTips
Oriolus_xanthornus,Oriolus_xanthornus,Ketupa_flavipes
Orthotomus_sutorius,Orthotomus_sutorius,Ketupa_zeylonensis
Paradoxornis_gularis,Paradoxornis_gularis,Lanius_schach
Pellorneum_ruficeps,Pellorneum_ruficeps,Lanius_tephronotus
Pericrocotus_brevirostris,Pericrocotus_brevirostris,Leiothrix_lutea
Pericrocotus_ethologus,Pericrocotus_ethologus,Leptopoecile_sophiae
Pericrocotus_solaris,Pericrocotus_solaris,Liocichla_bugunorum
Phaenicophaeus_tristis,Phaenicophaeus_tristis,Lonchura_atricapilla
Phoenicurus_frontalis,Phoenicurus_frontalis,Lonchura_punctulata
Phyllergates_cucullatus,Phyllergates_cucullatus,Lonchura_striata
Phylloscopus_cantator,Phylloscopus_cantator,Loriculus_vernalis
Phylloscopus_chloronotus,Phylloscopus_chloronotus,Loxia_curvirostra
Phylloscopus_maculipennis,Phylloscopus_maculipennis,Luscinia_brunnea
Phylloscopus_magnirostris,Phylloscopus_magnirostris,Megalaima_haemacephala
Phylloscopus_pulcher,Phylloscopus_pulcher,Megalurus_palustris
Phylloscopus_reguloides,Phylloscopus_reguloides,Melanocorypha_maxima
Phylloscopus_xanthoschistos,Phylloscopus_xanthoschistos,Melophus_lathami
Picumnus_innominatus,Picumnus_innominatus,Merops_leschenaulti
Picus_canus,Picus_canus,Merops_orientalis
Picus_chlorolophus,Picus_chlorolophus,Microhierax_caerulescens
Pitta_sordida,Pitta_sordida,Mirafra_assamica
Pnoepyga_albiventer,Pnoepyga_albiventer,Monticola_cinclorhynchus
Pnoepyga_pusilla,Pnoepyga_pusilla,Montifringilla_taczanowskii
Pomatorhinus_ferruginosus,Pomatorhinus_ferruginosus,Motacilla_alba
Pomatorhinus_ruficollis,Pomatorhinus_ruficollis,Motacilla_cinerea
Pomatorhinus_schisticeps,Pomatorhinus_schisticeps,Motacilla_maderaspatensis
Psarisomus_dalhousiae,Psarisomus_dalhousiae,Mycerobas_affinis
Psittacula_alexandri,Psittacula_alexandri,Mycerobas_carnipes
Pteruthius_flaviscapis,Pteruthius_flaviscapis,Ninox_scutulata
Pteruthius_melanotis,Pteruthius_melanotis,Oriolus_kundoo
Pteruthius_rufiventer,Pteruthius_rufiventer,Oriolus_tenuirostris
Pteruthius_xanthochlorus,Pteruthius_xanthochlorus,Otus_bakkamoena
